name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Abado,Ethiopia,2,22-10-2023,31-12-2023,70,77
Abe Dongoro,Ethiopia,6,06-10-2023,31-12-2023,86,93
Abobo,Ethiopia,1,09-02-2023,31-12-2023,325,332
Abol,Ethiopia,2,19-07-2023,31-12-2023,165,172
Abomsa,Ethiopia,1,16-11-2023,31-12-2023,45,52
Adaba,Ethiopia,1,16-10-2023,31-12-2023,76,83
Adami Tulu,Ethiopia,1,08-05-2023,31-12-2023,237,244
Adda Berga,Ethiopia,1,16-08-2023,31-12-2023,137,144
Addis Zemen,Ethiopia,3,24-11-2023,31-12-2023,37,44
Adet,Ethiopia,3,16-09-2023,31-12-2023,106,113
Afdem,Ethiopia,1,06-04-2023,31-12-2023,269,276
Agiret,Ethiopia,1,24-07-2023,31-12-2023,160,167
Akedo,Ethiopia,2,19-07-2023,31-12-2023,165,172
Akesta,Ethiopia,1,08-09-2023,31-12-2023,114,121
Ali Doro,Ethiopia,5,06-12-2023,31-12-2023,25,32
Amanuel,Ethiopia,3,31-08-2023,31-12-2023,122,129
Amara Sayint,Ethiopia,1,02-08-2023,31-12-2023,151,158
Ambassel,Ethiopia,1,23-09-2023,31-12-2023,99,106
Ankober,Ethiopia,4,07-11-2023,31-12-2023,54,61
Ano,Ethiopia,2,02-02-2023,31-12-2023,332,339
Aradom,Ethiopia,4,03-12-2023,31-12-2023,28,35
Arertu,Ethiopia,1,08-09-2023,31-12-2023,114,121
Asabot,Ethiopia,1,30-08-2023,31-12-2023,123,130
Asandabo,Ethiopia,1,17-05-2023,31-12-2023,228,235
Asbuli,Ethiopia,1,22-02-2023,31-12-2023,312,319
Asebe Teferi,Ethiopia,1,06-07-2023,31-12-2023,178,185
Ataye,Ethiopia,4,29-10-2023,31-12-2023,63,70
Ataye Town,Ethiopia,5,24-11-2023,31-12-2023,37,44
Awara,Ethiopia,1,18-10-2023,31-12-2023,74,81
Awash,Ethiopia,1,16-06-2023,31-12-2023,198,205
Awra Godana,Ethiopia,1,17-09-2023,31-12-2023,105,112
Ayana,Ethiopia,1,02-08-2023,31-12-2023,151,158
Babich,Ethiopia,5,15-01-2023,31-12-2023,350,357
Babile,Ethiopia,2,18-09-2023,31-12-2023,104,111
Babu Dire,Ethiopia,1,27-08-2023,31-12-2023,126,133
