#name,region,country,latitude,longitude,location_type,conflict_date,population
Chobi,Oromia,Ethiopia,9.3333,37.95,town,0,0
Gidole,South Ethiopia Region,Ethiopia,5.6488,37.3698,town,1,35500
Babich,Oromia,Ethiopia,8.9667,37.55,town,10,0
Hosale,Oromia,Ethiopia,9.4994,42.7383,town,14,0
Merar,Oromia,Ethiopia,9.5194,42.6783,town,14,0
Tulu Guled,Oromia,Ethiopia,9.6167,42.7531,town,14,0
Muke Turi,Oromia,Ethiopia,9.55,38.8667,town,18,0
Jewaha,Amhara,Ethiopia,10.107,39.9727,town,20,0
Chire,Amhara,Ethiopia,10.5239,39.9315,town,22,0
Senbete,Amhara,Ethiopia,10.3069,39.9885,town,22,0
Kewet,Amhara,Ethiopia,10.1662,39.7446,town,22,0
Ataye,Amhara,Ethiopia,10.3502,39.9362,town,22,26300
Wesen Kurkur,Afar,Ethiopia,10.0537,39.9511,town,23,0
Kemise,Amhara,Ethiopia,10.7244,39.874,town,23,43800
Chefa Robit,Amhara,Ethiopia,10.5532,39.9354,town,23,0
Gedeb,South Ethiopia Region,Ethiopia,5.9167,38.25,town,24,24000
Ano,Oromia,Ethiopia,9.0932,36.9577,town,31,0
Bako,Oromia,Ethiopia,9.1333,37.05,town,32,34100
Kegni,Oromia,Ethiopia,9.1145,37.6264,town,32,0
Zinanfe,Amhara,Ethiopia,10.5062,37.6476,town,34,0
Sekota,Amhara,Ethiopia,12.627,39.0343,town,35,50300
Becho,Oromia,Ethiopia,8.5828,38.241,town,37,0
Abobo,Gambela,Ethiopia,7.8971,34.5402,town,39,0
Asbuli,Somali,Ethiopia,9.9814,41.1643,town,52,0
Nenesebo,Oromia,Ethiopia,6.4819,39.0994,town,54,0
Dimma,Gambela,Ethiopia,7.1667,34.6667,town,55,0
Degdegela,Oromia,Ethiopia,8.4539,38.7905,town,64,0
Jarso,Oromia,Ethiopia,9.9167,38.1667,town,64,0
Fentale,Oromia,Ethiopia,8.7539,39.8339,town,84,0
Afdem,Somali,Ethiopia,9.4647,40.9934,town,95,0
Gobiye,Amhara,Ethiopia,11.8602,39.6713,town,95,0
Kobo,Amhara,Ethiopia,12.15,39.6333,town,98,56100
Hana,South Ethiopia Region,Ethiopia,6.2248,36.1294,conflict_zone,116,0
Minare,Oromia,Ethiopia,9.6167,38.25,conflict_zone,133,0
Debre Zeyit,Oromia,Ethiopia,8.75,38.983,conflict_zone,134,0
Welenchiti,Oromia,Ethiopia,8.6667,39.4333,conflict_zone,135,31500
Asandabo,Oromia,Ethiopia,9.8333,37.55,conflict_zone,136,0
Mude,Oromia,Ethiopia,8.3071,39.094,conflict_zone,136,0
Kombolcha,Oromia,Ethiopia,9.5333,37.5,conflict_zone,136,132100
Kontema,Oromia,Ethiopia,5.7821,39.3076,conflict_zone,138,0
Bekoji,Oromia,Ethiopia,7.5333,39.25,conflict_zone,138,36800
Itang,Gambela,Ethiopia,8.2,34.2667,conflict_zone,140,0
Haro,Amhara,Ethiopia,10.8514,40.1056,conflict_zone,145,0
Debre Elias,Amhara,Ethiopia,10.299,37.459,conflict_zone,145,0
Bake Kelate,Oromia,Ethiopia,9.6139,37.9851,conflict_zone,146,0
Bore,Oromia,Ethiopia,6.3667,38.6167,conflict_zone,158,0
Injibara,Amhara,Ethiopia,11.0,36.9167,conflict_zone,160,47500
Tepi,South West,Ethiopia,7.2,35.45,conflict_zone,161,66700
Shambu,Oromia,Ethiopia,9.5667,37.1,conflict_zone,164,31100
Meta Robi,Oromia,Ethiopia,9.3333,38.1667,conflict_zone,164,0
Galesa,Oromia,Ethiopia,9.1761,38.0735,conflict_zone,164,0
Oda Dalota,Oromia,Ethiopia,9.5636,38.4177,conflict_zone,164,0
Awash,Afar,Ethiopia,8.9833,40.1667,conflict_zone,166,0
Debre Werk,Amhara,Ethiopia,10.6612,38.1623,conflict_zone,174,0
Muja,Amhara,Ethiopia,12.0071,39.2904,conflict_zone,175,0
Dejen,Amhara,Ethiopia,10.1667,38.1452,conflict_zone,183,0
Dugda,Oromia,Ethiopia,8.1929,38.754,conflict_zone,185,0
Asebe Teferi,Oromia,Ethiopia,9.0857,40.8671,conflict_zone,186,0
Gilgel Belles,Benshangul/Gumuz,Ethiopia,11.1618,36.344,conflict_zone,187,0
Chanka,Oromia,Ethiopia,8.8667,35.0667,conflict_zone,191,0
Mechiara,Oromia,Ethiopia,8.7355,34.9961,conflict_zone,191,0
Gabo Robi town,Oromia,Ethiopia,8.6886,34.8796,conflict_zone,191,0
Kobo Robit,Amhara,Ethiopia,12.0118,39.6283,conflict_zone,193,0
Abol,Gambela,Ethiopia,8.2264,34.4369,conflict_zone,198,0
Akedo,Gambela,Ethiopia,8.1984,34.215,conflict_zone,198,0
Maksegnit town,Amhara,Ethiopia,12.3839,37.5174,conflict_zone,199,0
Pinyikew,Gambela,Ethiopia,8.1981,34.3456,conflict_zone,200,0
Agiret,Amhara,Ethiopia,11.8535,38.6961,conflict_zone,204,0
Filakit,Amhara,Ethiopia,11.7573,38.7468,conflict_zone,205,26500
Chuahit,Amhara,Ethiopia,12.3396,37.2042,conflict_zone,206,0
Fogera,Amhara,Ethiopia,11.9485,37.5838,conflict_zone,207,0
Ayana,Oromia,Ethiopia,9.8833,36.6167,conflict_zone,213,0
Gonder,Amhara,Ethiopia,12.6,37.4667,conflict_zone,213,466000
Debre Berhan,Amhara,Ethiopia,9.6833,39.5333,conflict_zone,216,0
Mendida,Oromia,Ethiopia,9.6552,39.2312,conflict_zone,218,0
Debre Markos,Amhara,Ethiopia,10.35,37.7333,conflict_zone,219,140700
Bitile,Oromia,Ethiopia,9.1865,37.4591,conflict_zone,227,0
Refiso Kameno,Oromia,Ethiopia,9.0662,37.3286,conflict_zone,227,0
Sasiga,Oromia,Ethiopia,9.1631,36.5052,conflict_zone,227,0
Finchawa,Oromia,Ethiopia,5.3981,38.271,conflict_zone,228,0
Mahidere Selam,Amhara,Ethiopia,10.5922,38.7282,conflict_zone,232,0
Boji,Oromia,Ethiopia,9.4833,34.9167,conflict_zone,234,0
Wama Tobera,Oromia,Ethiopia,9.5998,35.0084,conflict_zone,234,0
Debeka,Oromia,Ethiopia,9.4667,35.2,conflict_zone,234,0
Shera,South Ethiopia Region,Ethiopia,6.076,37.5757,conflict_zone,235,0
Neseri Menehoro,Oromia,Ethiopia,9.7021,39.184,conflict_zone,237,0
Gamo,Oromia,Ethiopia,9.7005,39.1463,conflict_zone,237,0
Babu Dire,Oromia,Ethiopia,10.1198,38.6329,conflict_zone,238,0
Selelkula,Oromia,Ethiopia,10.1371,38.4933,conflict_zone,238,0
Mekane Yesus,Amhara,Ethiopia,11.6333,38.0666,conflict_zone,239,0
Adet,Amhara,Ethiopia,11.2647,37.4915,conflict_zone,240,43200
Abe Dongoro,Oromia,Ethiopia,9.6097,36.9331,conflict_zone,241,0
Lemi,Amhara,Ethiopia,9.8031,38.9077,conflict_zone,246,0
Arertu,Amhara,Ethiopia,8.9333,39.4167,conflict_zone,250,0
Dugda Goro,Central Ethiopia,Ethiopia,8.1651,38.6387,conflict_zone,251,0
Shilabo,Somali,Ethiopia,6.0917,44.7636,conflict_zone,252,0
Tulu Bolo,Oromia,Ethiopia,8.6667,38.2167,conflict_zone,254,30000
Harbu Chulule,Oromia,Ethiopia,8.4682,38.2354,conflict_zone,254,0
Burka Sorema,Oromia,Ethiopia,9.9338,36.753,conflict_zone,256,0
Minjar,Amhara,Ethiopia,8.908,39.4089,conflict_zone,259,0
Awra Godana,Oromia,Ethiopia,8.8761,39.7703,conflict_zone,259,0
Koloji IDP Camp,Oromia,Ethiopia,9.1778,42.22,conflict_zone,261,0
Koshe,Central Ethiopia,Ethiopia,8.0151,38.5335,conflict_zone,269,0
Ginde Berbere,Oromia,Ethiopia,10.2174,38.8016,conflict_zone,273,0
Sodo,Central Ethiopia,Ethiopia,8.3261,38.5217,conflict_zone,276,204100
Dedu,Oromia,Ethiopia,9.6838,37.5321,conflict_zone,279,0
Odo Olonkomi,Oromia,Ethiopia,9.3893,38.3673,conflict_zone,283,0
Berehet,Amhara,Ethiopia,9.3385,39.5157,conflict_zone,283,0
Welkite,Central Ethiopia,Ethiopia,8.2833,37.7833,conflict_zone,285,77500
