name1,name2,distance,forced_redirection
Chobi,Kilbeabo,192.95,0
Kilbeabo,Meta Robi,82.88,0
Meta Robi,Galesa,182.75,0
Galesa,Inchini,340.21,0
Inchini,Odo Olonkomi,74.34,0
Odo Olonkomi,Oda Dalota,181.44,0
Oda Dalota,Yaya Haro,80.04,0
Yaya Haro,Ali Doro,164.76,0
Ali Doro,Abado,94.14,0
Abado,Dabala Bolo,38.61,0
Dabala Bolo,Tulu Milki,110.91,0
Tulu Milki,Ejerssa,107.17,0
Ejerssa,Selelkula,157.47,0
Selelkula,Babu Dire,140.67,0
Babu Dire,Ginde Berbere,194.9,0
Ginde Berbere,Mahidere Selam,381.92,0
Mahidere Selam,Degolo,554.43,0
Degolo,Kewet,551.54,0
Kewet,Wesen Kurkur,235.16,0
Wesen Kurkur,Jewaha,57.51,0
Jewaha,Senbete,200.52,0
Senbete,Ataye,67.9,0
Ataye,Chire,173.76,0
Chire,Chefa Robit,29.56,0
Chefa Robit,Kemise,181.88,0
Kemise,Haro,264.14,0
Haro,Wichale,829.52,0
Wichale,Wirgesa,36.36,0
Wirgesa,Sirinka,208.12,0
Sirinka,Gobiye,121.94,0
Gobiye,Kobo Robit,157.58,0
Kobo Robit,Kobo Zuria,115.88,0
Kobo Zuria,Kobo,54.9,0
Kobo,Zobel Mountains,113.99,0
Zobel Mountains,Muja,482.47,0
Muja,Filakit,598.25,0
Filakit,Agiret,108.74,0
Agiret,Mekane Yesus,666.9,0
Mekane Yesus,Fogera,576.58,0
Fogera,Maksegnit town,440.43,0
Maksegnit town,Gonder,221.97,0
Gonder,Chuahit,369.75,0
Chuahit,Adet,1112.63,0
Adet,Injibara,632.82,0
Injibara,Kuch,516.86,0
Kuch,Debre Elias,478.86,0
Debre Elias,Debre Markos,279.0,0
Debre Markos,Zinanfe,178.17,0
Zinanfe,Debre Werk,537.53,0
Debre Werk,Dejen,494.8,0
Dejen,Gohatsion,192.95,0
Gohatsion,Jarso,118.29,0
Jarso,Wara Jarso,119.14,0
Wara Jarso,Minare,218.53,0
Minare,Awara,222.39,0
Awara,Bake Kelate,67.46,0
Bake Kelate,Dedu,458.36,0
Dedu,Fincha Sugar Factory,104.37,0
Fincha Sugar Factory,Kombolcha,174.77,0
Kombolcha,Asandabo,304.14,0
Asandabo,Shambu,523.04,0
Shambu,Abe Dongoro,172.35,0
Abe Dongoro,Burka Sorema,370.78,0
Burka Sorema,Ayana,145.35,0
Ayana,Hinde,189.55,0
Hinde,Barbara,649.16,0
Barbara,Dibate,71.56,0
Dibate,Gilgel Belles,527.69,0
Gilgel Belles,Sherkole,1589.74,0
Sherkole,Tsore,482.72,0
Tsore,Bambasi,489.67,0
Bambasi,Wama Tobera,321.52,0
Wama Tobera,Boji,148.26,0
Boji,Debeka,283.79,0
Debeka,Chanka,614.63,0
Chanka,Mechiara,148.99,0
Mechiara,Gabo Robi town,125.59,0
Gabo Robi town,Jewi,571.91,0
Jewi,Abol,290.44,0
Abol,Pinyikew,95.59,0
Pinyikew,Itang,78.92,0
Itang,Akedo,51.72,0
Akedo,Tierkidi,109.58,0
Tierkidi,Kule,40.86,0
Kule,Abobo,492.92,0
Abobo,Pinyudo,377.64,0
Pinyudo,Dimma,631.17,0
Dimma,Tepi,784.01,0
Tepi,Okugo,779.09,0
Okugo,Hana,1035.04,0
Hana,Gidole,1367.61,0
Gidole,Shera,474.23,0
Shera,Gedeb,692.86,0
Gedeb,Finchawa,519.03,0
Finchawa,Bore,1028.44,0
Bore,Nenesebo,496.26,0
Nenesebo,Kontema,730.11,0
Kontema,Guna,1739.15,0
Guna,Gobesa,120.2,0
Gobesa,Bekoji,263.54,0
Bekoji,Iteya,600.23,0
Iteya,Mude,222.74,0
Mude,Degdegela,337.14,0
Degdegela,Dugda,263.54,0
Dugda,Dugda Goro,118.6,0
Dugda Goro,Koshe,183.21,0
Koshe,Sodo,311.22,0
Sodo,Malima,235.55,0
Malima,Harbu Chulule,155.65,0
Harbu Chulule,Becho,114.74,0
Becho,Tulu Bolo,87.35,0
Tulu Bolo,Welkite,578.65,0
Welkite,Incinni,533.62,0
Incinni,Babich,194.39,0
Babich,Kegni,166.38,0
Kegni,Bitile,182.14,0
Bitile,Refiso Kameno,177.49,0
Refiso Kameno,Bako,286.57,0
Bako,Ano,100.63,0
Ano,Sasiga,457.87,0
Sasiga,Ilu Harer,447.85,0
Ilu Harer,Kone Town,268.65,0
Kone Town,Dega,202.85,0
Dega,Bube town,412.15,0
Bube town,Homa town,250.08,0
Homa town,Gimbi,158.98,0
Gimbi,Shenen,1689.92,0
Shenen,Wabe,1486.67,0
Wabe,Gulele,150.93,0
Gulele,Lemi,241.81,0
Lemi,Muke Turi,256.4,0
Muke Turi,Gamo,317.53,0
Gamo,Neseri Menehoro,37.73,0
Neseri Menehoro,Mendida,66.54,0
Mendida,Debre Berhan,303.4,0
Debre Berhan,Berehet,345.25,0
Berehet,Arertu,417.12,0
Arertu,Minjar,26.48,0
Minjar,Welenchiti,242.53,0
Welenchiti,Awra Godana,396.76,0
Awra Godana,Fentale,137.76,0
Fentale,Abomsa,165.09,0
Abomsa,Awash,498.94,0
Awash,Asebe Teferi,707.85,0
Asebe Teferi,Afdem,399.49,0
Afdem,Asbuli,544.23,0
Asbuli,Koloji IDP Camp,1326.75,0
Koloji IDP Camp,Merar,571.6,0
Merar,Hosale,63.25,0
Hosale,Tulu Guled,118.23,0
Tulu Guled,Sheder,387.92,0
Sheder,Aw-barre,123.21,0
Aw-barre,Kebribeyah,685.8,0
Kebribeyah,Aysaita,3024.6,0
Aysaita,Serdo,404.69,0
Serdo,Barahle,2298.02,0
Barahle,Sekota,1581.73,0
Sekota,Debre Zeyit,3877.34,0
Debre Zeyit,Bokolmanyo,4931.24,0
Bokolmanyo,Melkadida,188.24,0
Melkadida,Kobe,54.52,0
Kobe,Helaweyn,155.52,0
Helaweyn,Buramino,99.34,0
Buramino,Moyale,2983.6,0
Moyale,Shilabo,6258.79,0
