name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Abado,Ethiopia,2,22-10-2023,12-01-2024,82,89
Abe Dongoro,Ethiopia,6,06-10-2023,12-01-2024,98,105
Abobo,Ethiopia,1,09-02-2023,12-01-2024,337,344
Abol,Ethiopia,2,19-07-2023,12-01-2024,177,184
Abomsa,Ethiopia,2,22-12-2023,12-01-2024,21,28
Adaba,Ethiopia,1,16-10-2023,12-01-2024,88,95
Adami Tulu,Ethiopia,1,08-05-2023,12-01-2024,249,256
Adda Berga,Ethiopia,1,16-08-2023,12-01-2024,149,156
Addis Zemen,Ethiopia,3,24-11-2023,12-01-2024,49,56
Adet,Ethiopia,3,16-09-2023,12-01-2024,118,125
Afdem,Ethiopia,1,06-04-2023,12-01-2024,281,288
Agiret,Ethiopia,1,24-07-2023,12-01-2024,172,179
Akedo,Ethiopia,2,19-07-2023,12-01-2024,177,184
Akesta,Ethiopia,1,08-09-2023,12-01-2024,126,133
Ali Doro,Ethiopia,5,06-12-2023,12-01-2024,37,44
Amanuel,Ethiopia,5,21-12-2023,12-01-2024,22,29
Amara Sayint,Ethiopia,1,02-08-2023,12-01-2024,163,170
Amba Giorgis,Ethiopia,1,27-12-2023,12-01-2024,16,23
Ambassel,Ethiopia,1,23-09-2023,12-01-2024,111,118
Amuru,Ethiopia,2,28-12-2023,12-01-2024,15,22
Ankober,Ethiopia,4,07-11-2023,12-01-2024,66,73
Ano,Ethiopia,2,02-02-2023,12-01-2024,344,351
Aradom,Ethiopia,4,03-12-2023,12-01-2024,40,47
Arb Gebeya 1,Ethiopia,1,19-12-2023,12-01-2024,24,31
Arba Minch,Ethiopia,1,26-11-2023,12-01-2024,47,54
Arertu,Ethiopia,1,08-09-2023,12-01-2024,126,133
Asabot,Ethiopia,1,30-08-2023,12-01-2024,135,142
Asandabo,Ethiopia,1,17-05-2023,12-01-2024,240,247
Asbuli,Ethiopia,1,22-02-2023,12-01-2024,324,331
Asebe Teferi,Ethiopia,1,06-07-2023,12-01-2024,190,197
Ataye,Ethiopia,5,02-01-2024,12-01-2024,10,17
Ataye Town,Ethiopia,8,11-12-2023,12-01-2024,32,39
Awara,Ethiopia,3,11-12-2023,12-01-2024,32,39
Awash,Ethiopia,1,16-06-2023,12-01-2024,210,217
Awra Godana,Ethiopia,1,17-09-2023,12-01-2024,117,124
Ayana,Ethiopia,2,26-12-2023,12-01-2024,17,24
Babich,Ethiopia,5,15-01-2023,12-01-2024,362,369
Babile,Ethiopia,2,18-09-2023,12-01-2024,116,123
Babu Dire,Ethiopia,2,13-12-2023,12-01-2024,30,37
Bahir Dar,Ethiopia,8,22-12-2023,12-01-2024,21,28
Bake Kelate,Ethiopia,2,20-10-2023,12-01-2024,84,91
Bako,Ethiopia,1,02-02-2023,12-01-2024,344,351
Barbara,Ethiopia,1,01-12-2023,12-01-2024,42,49
Becho,Ethiopia,1,07-02-2023,12-01-2024,339,346
Begi,Ethiopia,2,17-12-2023,12-01-2024,26,33
Bekoji,Ethiopia,2,20-05-2023,12-01-2024,237,244
Belago,Ethiopia,1,06-04-2023,12-01-2024,281,288
Belessa,Ethiopia,1,25-09-2023,12-01-2024,109,116
Belo Jiganfoy,Ethiopia,1,30-12-2023,12-01-2024,13,20
Berehet,Ethiopia,1,11-10-2023,12-01-2024,93,100
Bichena,Ethiopia,3,21-08-2023,12-01-2024,144,151
Bistima,Ethiopia,1,10-11-2023,12-01-2024,63,70
Bitile,Ethiopia,1,16-08-2023,12-01-2024,149,156
Boji,Ethiopia,1,23-08-2023,12-01-2024,142,149
Bole town,Ethiopia,2,28-06-2023,12-01-2024,198,205
Bore,Ethiopia,1,08-06-2023,12-01-2024,218,225
Bube town,Ethiopia,2,31-10-2023,12-01-2024,73,80
Bue,Ethiopia,1,02-08-2023,12-01-2024,163,170
Bugna,Ethiopia,1,04-12-2023,12-01-2024,39,46
Bule Hora,Ethiopia,8,24-11-2023,12-01-2024,49,56
Bure,Ethiopia,10,24-11-2023,12-01-2024,49,56
Burka Sorema,Ethiopia,1,14-09-2023,12-01-2024,120,127
Chanka,Ethiopia,1,11-07-2023,12-01-2024,185,192
Chefa Robit,Ethiopia,4,05-11-2023,12-01-2024,68,75
Chinhahsan,Ethiopia,1,15-01-2023,12-01-2024,362,369
Chire,Ethiopia,2,25-01-2023,12-01-2024,352,359
Chiro,Ethiopia,1,13-01-2023,12-01-2024,364,371
Chobi,Ethiopia,3,10-08-2023,12-01-2024,155,162
Chuahit,Ethiopia,3,05-11-2023,12-01-2024,68,75
Dabala Bolo,Ethiopia,2,22-10-2023,12-01-2024,82,89
Dabat,Ethiopia,4,04-09-2023,12-01-2024,130,137
Daleti-2,Ethiopia,5,17-12-2023,12-01-2024,26,33
Dangila,Ethiopia,2,09-12-2023,12-01-2024,34,41
Debeka,Ethiopia,1,23-08-2023,12-01-2024,142,149
Debre Birhan,Ethiopia,14,03-01-2024,12-01-2024,9,16
Debre Elias,Ethiopia,5,30-05-2023,12-01-2024,227,234
Debre Markos,Ethiopia,14,19-10-2023,12-01-2024,85,92
Debre Sina,Ethiopia,3,16-08-2023,12-01-2024,149,156
Debre Tabor,Ethiopia,8,28-08-2023,12-01-2024,137,144
Debre Tsige,Ethiopia,1,16-12-2023,12-01-2024,27,34
Debre Werk,Ethiopia,2,21-10-2023,12-01-2024,83,90
Debre Zeyit,Ethiopia,1,15-05-2023,12-01-2024,242,249
Dedu,Ethiopia,4,28-12-2023,12-01-2024,15,22
Dega,Ethiopia,3,18-11-2023,12-01-2024,55,62
Dega Damot,Ethiopia,2,16-09-2023,12-01-2024,118,125
Degdegela,Ethiopia,1,06-03-2023,12-01-2024,312,319
Degem Hambiso,Ethiopia,2,19-11-2023,12-01-2024,54,61
Degolo,Ethiopia,3,27-12-2023,12-01-2024,16,23
Dejen,Ethiopia,1,03-07-2023,12-01-2024,193,200
Dembecha,Ethiopia,12,03-11-2023,12-01-2024,70,77
Dembi Dolo,Ethiopia,1,02-02-2023,12-01-2024,344,351
Densa,Ethiopia,2,10-12-2023,12-01-2024,33,40
Dera,Ethiopia,1,31-12-2023,12-01-2024,12,19
Dessie,Ethiopia,1,25-08-2023,12-01-2024,140,147
Dibate,Ethiopia,1,01-12-2023,12-01-2024,42,49
Digga,Ethiopia,1,24-12-2023,12-01-2024,19,26
Digo Tsion,Ethiopia,5,07-11-2023,12-01-2024,66,73
Dikul Kana,Ethiopia,2,05-09-2023,12-01-2024,129,136
