event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH11466,2024-01-11,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,Central Gondar,Gonder town,Gonder,12.6000,37.4667,1,BBC News; EMS,Other-International,"On 11 January 2024, ENDF clashed with the Fano in Lideta neighborhood in Gonder town (Central Gondar, Amhara). ENDF attempted to arrest a Fano member who was hiding in one house, and the Fano member fired towards ENDF soldiers and escaped. Subsequently, the ENDF shelled the house and demolished it. At least 7 civilians were killed, with some reports mentioning 10 fatalities. One oil factory and other residential houses were burned.",7,,1705371882
ETH11467,2024-01-11,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,South Gondar,Guna Begemider,Kimir Dingay,11.8167,38.2167,1,EMS,Other,"On 11 January 2024, Fano attacked an ENDF camp in Kimir Dingay (Guna Begemider, South Gondar, Amhara), causing an unknown number of fatalities to the ENDF. Unspecified fatalities coded as 3.",3,,1705371882
ETH11468,2024-01-11,2024,2,Political violence,Battles,Armed clash,Police Forces of Ethiopia (2018-) Amhara State Police,,1,Police Forces of Ethiopia (2018-) Amhara State Police,,1,11,,231,Eastern Africa,Ethiopia,Amhara,South Wello,Wegde,Mahidere Selam,10.5922,38.7282,2,EMS,Other,"Around 11 January 2024 (week of), Amhara State police clashed among themselves in Wegdi (location coded to Mahidere Selam, Wegde, South Wello), resulting to the killing of one police officer. The reason for the clash is unknown.",1,,1705371882
ETH11469,2024-01-11,2024,1,Political violence,Battles,Armed clash,Kebele Communal Militia (Ethiopia),,4,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,24,,231,Eastern Africa,Ethiopia,Oromia,East Wellega,Haro Limu,Soghidda,10.0333,36.2500,2,Oromiya Media Network,International,"On 11 January 2024, Kebele communal militia shot and killed a suspected OLF Shane in Sagiro Gudina kebele (location coded to Soghidda) in Haro Limu woreda (East Wellega, Oromia), while he was riding a motorbike to escape with his firearms. No further information is available.",1,,1705371882
ETH11463,2024-01-10,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Shewa,Antsokiya,Mekoy,10.6981,39.7838,2,EMS,Other,"On 10 January 2024, ENDF and Fano clashed in Antsokiya (location coded to Mekoy, North Shewa, Amhara), leading to the killing of 4 persons. It is unknown whether the victims were civilians. Transport and electricity were disrupted because of the armed clash.",4,,1705371882
ETH11464,2024-01-10,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Mersa town,Mersa,11.6656,39.6586,2,EMS,Other,"On 10 January 2024, ENDF and Fano clashed at Chekorsa and Menokse Meda (location coded to Mersa, Mersa town, North Wello, Amhara). ENDF fired heavy artillery, killing a family and demolishing civilians' houses. Unspecified number of fatalities coded as 3.",3,,1705371882
ETH11457,2024-01-08,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,Central Gondar,Gonder town,Gonder,12.6000,37.4667,1,Amhara Media Corporation; Deutsche Welle; EMS,Other-Subnational,"On 8 January 2024, ENDF and Fano clashes for the second day in Gonder (Gonder town, Central Gondar, Amhara), resulting in the killing of many individuals. According to the Gondar state of emergency command post, it controlled the efforts to dismantle the city's peace. According to the eyewitnesses, many houses were burned and demolished by heavy artilleries. Unspecified number of fatalities coded as ten.",10,,1705371882
ETH11456,2024-01-07,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,Central Gondar,Gonder town,Gonder,12.6000,37.4667,1,Amhara Media Corporation; Deutsche Welle; EMS,Other-Subnational,"On 7 January 2024, ENDF and Fano clashed in Maraki sub-city of Gonder (Gonder town, Central Gondar, Amhara), resulting in the killing of several individuals. Unspecified number of fatalities coded as ten.",10,,1705371882
ETH11415,2024-01-05,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Oromo Ethnic Militia (Ethiopia),,4,34,,231,Eastern Africa,Ethiopia,Amhara,Oromia,Jilye Tumuga,Senbete,10.3069,39.9885,2,Oromiya Media Network,International,"On 5 January 2024, and for a third day, Fano clashed with ethnic Oromo militias in Aman Gabeya and Mulewa kebeles (location coded to Senbete, in Jilye Tumuga woreda, Oromia Special zone, Amhara), resulting in at least 11 ethnic Oromo militias being killed and over 10 others wounded. The total number of fatalities shared across three days (from 3-5 January) and coded as 3.",3,,1704766938
ETH11452,2024-01-05,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Mersa town,Mersa,11.6656,39.6586,1,EMS,Other,"On 5 January 2024, Fano ambushed ENDF who were traveling in three military trucks in Mersa (Mersa town, North Wello, Amhara). Many ENDF soldiers sustained injuries, and Fano seized many weapons. No more information available. Fatalities unknown.",0,,1705371882
ETH11408,2024-01-04,2024,1,Political violence,Battles,Non-state actor overtakes territory,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,East Gojam,Enebse Sarmder,Mertule Mariam,10.8740,38.2685,1,EMS,Other,"On 4 January 2024, Fano clashed with ENDF and took control of the town of Mertule Mariam (Enebse Sarmder, East Gojam, Amhara). Casualties unknown.",0,,1704766938
ETH11410,2024-01-04,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Gidan,Kulmesk,11.9362,39.2039,1,EMS,Other,"On 4 January 2024, Fano and ENDF clashed at Kulmesk (Gidan, North Wello, Amhara). ENDF were unsuccessful to take control of Kulmesk town from Fano. Casualties unknown.",0,,1704766938
ETH11411,2024-01-04,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Oromo Ethnic Militia (Ethiopia),,4,34,,231,Eastern Africa,Ethiopia,Amhara,Oromia,Jilye Tumuga,Senbete,10.3069,39.9885,2,Oromiya Media Network,International,"On 4 January 2024, for a second day, Fano clashed with ethnic Oromo militias in Aman Gabeya and Mulewa kebeles (location coded to Senbete, in Jilye Tumuga woreda, Oromia Special zone, Amhara), resulting in at least 11 ethnic Oromo militias being killed and over 10 others wounded. Total number of fatalities shared across three days (from 3-5 January) and coded as 4.",4,,1704766938
ETH11412,2024-01-04,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,West Gojam,Finote Selam town,Finote Selam,10.7000,37.2667,1,EMS,Other,"On 4 January 2024, ENDF and Fano clashed in Finote Selam (Finote Selam town, West Gojam, Amhara). There is no further information. Casualties unknown.",0,,1704766938
ETH11413,2024-01-04,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,West Gojam,Debub Mecha,Kwarit,11.1645,37.2510,1,EMS,Other,"On 4 January 2024, ENDF and Fano clashed in Kwarit (Debub Mecha, West Gojam, Amhara). No further information is available. Casualties unknown.",0,,1704766938
ETH11414,2024-01-04,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,West Gojam,Jabi Tehnan,Mankusa,10.6970,37.1561,1,EMS,Other,"On 4 January 2024, ENDF and Fano clashed in Mankusa (Jabi Tehnan, West Gojam, Amhara. There is no further information. Casualties unknown.",0,,1704766938
ETH11402,2024-01-03,2024,1,Political violence,Battles,Government regains territory,Military Forces of Ethiopia (2018-),Kebele Communal Militia (Ethiopia); Police Forces of Ethiopia (2018-) Amhara Regional Riot Police,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Shewa,Debre Berhan town,Debre Birhan,9.6719,39.5310,1,BBC News; Deutsche Welle; EMS; ESAT; GardaWorld; TIKVAH Ethiopia; Wazema Radio,Other-New media,"On 3 January 2024, and for a second day, Fano clashed with ENDF, Kebele militia and Amhara Regional Riot police in Arsema and other neighborhoods in Debre Berhan town, Debre Birhan (North Shewa, Amhara), resulting in at least 10 government security forces being killed. ENDF claimed to have regained control of the town following hours of clashes with the armed group. Total number of fatalities mentioned split between two days (2 and 3 January), coded as 5.",5,,1704766938
ETH11404,2024-01-03,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Habru,Wirgesa,11.5500,39.6167,1,EMS; ESAT,Other-International,"On 3 January 2024, for the second day, ENDF and Fano clashed in Wirgesa (Habru, North Wello, Amhara). ENDF fired heavy artillery from Mnt. Ambasel and killed a husband and wife. Fatalities coded as 2.",2,,1704766938
ETH11405,2024-01-03,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Oromo Ethnic Militia (Ethiopia),,4,34,,231,Eastern Africa,Ethiopia,Amhara,Oromia,Jilye Tumuga,Senbete,10.3069,39.9885,2,Oromiya Media Network,International,"On 3 January 2024, in a fighting that lasted for three days, Fano clashed with ethnic Oromo militias in Aman Gabeya and Molewa kebeles (location coded to Senbete, in Jilye Tumuga woreda, Oromia Special zone, Amhara), resulting in at least 11 ethnic Oromo militias being killed and over 10 others wounded. Total number of fatalities shared across three days (from 3-5 January) and coded as 4.",4,,1704766938
ETH11406,2024-01-03,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,South Wello,Ambasel,Wichale,11.5148,39.6076,2,EMS,Other,"On 3 January 2024, Fano ambushed ENDF at Ambasel near Wichale (location coded to Wichale, South Wello, Amhara). ENDF fired heavy artillery towards Ambasel mountain, killed ten farmers, and burned an unidentified number of houses.",10,,1704766938
ETH11455,2024-01-03,2024,2,Political violence,Battles,Armed clash,Unidentified Armed Group (Ethiopia),,3,Police Forces of Ethiopia (2023-) South Ethiopia State Police,,1,13,,231,Eastern Africa,Ethiopia,South Ethiopia Region,Gamo,Arba Minch Zuria,Shera,6.0760,37.5757,2,Deutsche Welle; EMS; ESAT; TIKVAH Ethiopia,Other-International,"Around 3 January 2024 (week of), armed men (coded as unidentified armed group), who raised a question concerning the recognition of Zeyise as special woreda, encircled police forces in Elgo and Wezeka kebeles (location coded to Shera, Arba Minch Zuria, Gamo, South Ethiopia). Government security forces (coded as South Ethiopia State Police and ENDF) clashed with residents and police open fire, killing 8 people. Three officers were killed. Many people were displaced to nearby forests, fearing attack by the police. Other sources indicated fatalities as nine.",8,,1705371882
ETH11403,2024-01-03,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Wadla,Gashena,11.6878,38.9232,2,EMS,Other,"On 3 January 2024, Fano ambushed ENDF at Dilb (location coded to Gashena, Wadla, North Wello Amhara). ENDF was traveling with three military trucks from Weldiya to Bahirdar. An unspecified number of fatalities coded as 3.",3,,1705435818
ETH11394,2024-01-02,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Shewa,Eferatana Gidem,Ataye,10.3502,39.9362,1,EMS,Other,"On 2 January 2024, ENDF and Fano clashed in Ataye (Eferatana Gidem, North Shewa, Amhara). No further information is available. Casualties unknown.",0,,1704766938
ETH11395,2024-01-02,2024,1,Political violence,Battles,Armed clash,Fano Youth Militia,,3,Military Forces of Ethiopia (2018-),,1,13,,231,Eastern Africa,Ethiopia,Amhara,North Shewa,Debre Berhan town,Debre Birhan,9.6719,39.5310,2,GardaWorld; Wazema Radio,Other-New media,"On 2 January 2024, overnight, Fano exchanged fire with ENDF near Debre Berhan town, along the main road, Debre Birhan (North Shewa, Amhara). The fighting lasted for two day (coded separately) and resulted in at least 10 government security personnel killed. Total number of fatalities split between two days (2 and 3 January), coded as 5.",5,,1704766938
ETH11396,2024-01-02,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,North Wello,Habru,Wirgesa,11.5500,39.6167,1,EMS; ESAT,Other-International,"On 2 January 2024, ENDF and Fano clashed in Wirgesa (Habru, North Wello, Amhara). ENDF was unsuccessful to regain Wirgesa from Fano. Casualties unknown.",0,,1704766938
ETH11397,2024-01-02,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Fano Youth Militia,,3,13,,231,Eastern Africa,Ethiopia,Amhara,South Wello,Delanta,Wegeltena,11.5971,39.2132,2,EMS,Other,"On 2 January 2024, ENDF and Fano clashed in Tsehay Mewcha, Ambesa Maserya, and Delanta (location coded to Wegeltena, South Wello, Amhara), taking control of Tsehay Mewcha and Ambesa Maserya from ENDF. It is unknown for how long Fano effectively controlled the two towns. Casualties unknown.",0,,1704766938
ETH11399,2024-01-02,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,,231,Eastern Africa,Ethiopia,Oromia,Guji,Gumi Idalo,Gumi Eldalo,4.8689,39.3183,2,Wazema Radio,New media,"On 2 January 2024, ENDF clashed with OLF Shane in Boba kebele, along the main road from Negele Borana to Moyale (location coded to Gumi Eldalo) in Gumi Idalo woreda (Guji, Oromia), resulting in at least four civilians were killed in the crossfire, and there were an unknown number of casualties from both sides. The ENDF launched this operation intending to retake areas that were previously under the control of the OLF Shane.",4,,1704766938
ETH11401,2024-01-02,2024,1,Political violence,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,,231,Eastern Africa,Ethiopia,Oromia,West Shewa,Mida Kegn,Kegni,9.1145,37.6264,2,Oromiya Media Network,International,"On 2 January 2024, ENDF clashed with OLF Shane in and around Kegni town, Mida Kegn woreda (West Shewa, Oromia). ENDF also launched drone strikes in the fighting that resulted in four people (including civilians) being killed and unknown others wounded.",4,,1704766938
