name,country,event_count,start_date,max_simulation_end_date,conflict_date,modified_conflict_date
Abado,Ethiopia,2,22-10-2023,31-12-2024,436,443
Abe Dongoro,Ethiopia,6,06-10-2023,31-12-2024,452,459
Abobo,Ethiopia,1,09-02-2023,31-12-2024,691,698
Abol,Ethiopia,2,19-07-2023,31-12-2024,531,538
Abomsa,Ethiopia,2,22-12-2023,31-12-2024,375,382
Adaba,Ethiopia,1,16-10-2023,31-12-2024,442,449
Adami Tulu,Ethiopia,1,08-05-2023,31-12-2024,603,610
Adda Berga,Ethiopia,1,16-08-2023,31-12-2024,503,510
Addis Zemen,Ethiopia,3,24-11-2023,31-12-2024,403,410
Adet,Ethiopia,3,16-09-2023,31-12-2024,472,479
Afdem,Ethiopia,1,06-04-2023,31-12-2024,635,642
Agiret,Ethiopia,1,24-07-2023,31-12-2024,526,533
Akedo,Ethiopia,2,19-07-2023,31-12-2024,531,538
Akesta,Ethiopia,1,08-09-2023,31-12-2024,480,487
Ali Doro,Ethiopia,5,06-12-2023,31-12-2024,391,398
Amanuel,Ethiopia,5,21-12-2023,31-12-2024,376,383
Amara Sayint,Ethiopia,1,02-08-2023,31-12-2024,517,524
Amba Giorgis,Ethiopia,1,27-12-2023,31-12-2024,370,377
Ambassel,Ethiopia,1,23-09-2023,31-12-2024,465,472
Amuru,Ethiopia,2,28-12-2023,31-12-2024,369,376
Ankober,Ethiopia,4,07-11-2023,31-12-2024,420,427
Ano,Ethiopia,2,02-02-2023,31-12-2024,698,705
Aradom,Ethiopia,4,03-12-2023,31-12-2024,394,401
Arb Gebeya 1,Ethiopia,1,19-12-2023,31-12-2024,378,385
Arba Minch,Ethiopia,1,26-11-2023,31-12-2024,401,408
Arertu,Ethiopia,1,08-09-2023,31-12-2024,480,487
Asabot,Ethiopia,1,30-08-2023,31-12-2024,489,496
Asandabo,Ethiopia,1,17-05-2023,31-12-2024,594,601
Asbuli,Ethiopia,1,22-02-2023,31-12-2024,678,685
Asebe Teferi,Ethiopia,1,06-07-2023,31-12-2024,544,551
Ataye,Ethiopia,5,02-01-2024,31-12-2024,364,371
Ataye Town,Ethiopia,8,11-12-2023,31-12-2024,386,393
Awara,Ethiopia,3,11-12-2023,31-12-2024,386,393
Awash,Ethiopia,1,16-06-2023,31-12-2024,564,571
Awra Godana,Ethiopia,1,17-09-2023,31-12-2024,471,478
Ayana,Ethiopia,2,26-12-2023,31-12-2024,371,378
Babich,Ethiopia,5,15-01-2023,31-12-2024,716,723
Babile,Ethiopia,2,18-09-2023,31-12-2024,470,477
Babu Dire,Ethiopia,2,13-12-2023,31-12-2024,384,391
Bahir Dar,Ethiopia,8,22-12-2023,31-12-2024,375,382
Bake Kelate,Ethiopia,2,20-10-2023,31-12-2024,438,445
Bako,Ethiopia,1,02-02-2023,31-12-2024,698,705
Barbara,Ethiopia,1,01-12-2023,31-12-2024,396,403
Becho,Ethiopia,1,07-02-2023,31-12-2024,693,700
Begi,Ethiopia,2,17-12-2023,31-12-2024,380,387
Bekoji,Ethiopia,2,20-05-2023,31-12-2024,591,598
